the_geom,cartodb_id,the_geom_webmercator,record_id,station_key,station_id,name,road_name,full_name,common_road_name,secondary_name,road_name_base,road_name_type,intersection,distance_to_intersection,road_number,link_number,mab_way_type,mab_way_number,mab_identifier,road_functional_hierarchy,road_on_type,lane_count,road_classification_type,road_classification_admin,rms_region,lga,suburb,post_code,device_type,heavy_vehicle_checking_station,permanent_station,vehicle_classifier,lambert_easting,lambert_northing,wgs84_latitude,wgs84_longitude,direction_seq,quality_rating,publish,md5,updated_on
,6296,,,56237,07053,Princes Highway,Princes Highway,"Princes Highway, East of Dowling Street",Princes Highway,East of Dowling Street,Princes,Highway,Dowling Street,190,0000001,1641,A,1,A1,Primary Road,OnGround,TwoOrMoreLanes,Highway,State,Southern,Shoalhaven,Falls Creek,2540,Trafficorder Loop Counter,false,1,0,9627583,4302720,-34.979137,150.590042,1,5,true,1091fcc3a09f8559238abecaa82278ea,2018-06-12 02:48:41.978017+00
,6297,,,56208,05979,Industrial Drive,Industrial Drive,"Industrial Drive, West of Werribi Street",Industrial Drive,West of Werribi Street,Industrial,Drive,Werribi Street,90,0000316,0220,A,43,A43,Local Road,OnGround,TwoOrMoreLanes,Drive,State,Hunter,Newcastle,Mayfield West,2304,Trafficorder Tube Axlepair Counter,false,0,0,9741780,4530341,-32.885941,151.727203,10,5,true,524075f9bcec03004f26b2a03becc388,2018-06-12 02:48:41.978017+00
,6298,,,57502,85016,Camden Valley Way,Camden Valley Way,"Camden Valley Way, East of Argyle Street","Camden Valley.camden Valley Way, Narellan",East of Argyle Street,Camden Valley,Way,Argyle Street,80,0000178,0191,NULL,NULL,NULL,Arterial Road,OnGround,TwoOrMoreLanes,Way,Regional,Sydney,Camden,Elderslie,2570,Trafficorder Loop Counter,false,1,0,9641912,4404821,-34.054153,150.707245,9,5,true,97035b25752886da0e0e15c2362d03bc,2018-06-12 02:48:41.978017+00
,6299,,,57831,93054,Newell Highway,Newell Highway,"Newell Highway, East of Tomingley West Road",Newell Highway,East of Tomingley West Road,Newell,Highway,Tomingley West Road,1360,0000017,2780,A,39,A39,Primary Road,OnGround,TwoOrMoreLanes,Highway,State,Western,Narromine,Tomingley,2869,Trafficorder Dual Tube Classifier,false,0,0,9415684,4576154,-32.55653,148.232864,9,5,true,f57dae0dc39295621766de5706bd42dd,2018-06-12 02:48:41.978017+00
,6300,,,57168,59025,Barrenjoey Road,Barrenjoey Road,"Barrenjoey Road, East of Pittwater Road","Barrenjoey.barrenjoey Rd, Mona Vale",East of Pittwater Road,Barrenjoey,Road,Pittwater Road,20,0000164,0690,NULL,NULL,NULL,Arterial Road,OnGround,TwoOrMoreLanes,Road,State,Sydney,Pittwater,Mona Vale,2103,Trafficorder Loop Counter,false,1,0,9698705,4444421,-33.677433,151.304688,10,5,true,4c89763d16f27a962e0531bab797ecb5,2018-06-12 02:48:41.978017+00
,6301,,,58737,99253,Castlereagh Highway,Castlereagh Highway,"Castlereagh Highway, East of Boulder Road",Castlereagh Highway,East of Boulder Road,Castlereagh,Highway,Boulder Road,910,0000018,1021,B,55,B55,Primary Road,OnGround,TwoOrMoreLanes,Highway,State,Western,Lithgow,Blackmans Flat,2790,Trafficorder Dual Tube Classifier,false,0,0,9583237,4484543.5,-33.352222,150.046249,9,5,true,1843f7fd9373fa02d869efb9712ac9c2,2018-06-12 02:48:41.978017+00
,6302,,,56794,24212,Wardell Road,Wardell Road,"Wardell Road, West of Riverside Crescent",Wardell Road,West of Riverside Crescent,Wardell,Road,Riverside Crescent,160,0007053,0050,NULL,NULL,NULL,Distributor Road,OnBridge,TwoOrMoreLanes,Road,Regional,Sydney,Marrickville,Marrickville,2204,Trafficorder Tube Axlepair Counter,false,0,0,9682115,4418848,-33.914051,151.136704,9,5,true,277936e330ee3c966413cfa981f03e26,2018-06-12 02:48:41.978017+00
,6303,,,58476,96358,Castlereagh Street,Castlereagh Street,"Castlereagh Street, North of King Street",Castlereagh Street,North of King Street,Castlereagh,Street,King Street,70,0000018,3110,B,55,B55,Local Road,OnGround,TwoOrMoreLanes,Street,State,Western,Coonamble,Coonamble,2829,Trafficorder Tube Axlepair Counter,false,0,0,9432811,4752808,-30.960636,148.39032,9,5,true,2c15f79c39f5ec0aae0546811a9158d8,2018-06-12 02:48:41.978017+00
,6304,,,56206,05976,Five Islands Road,Five Islands Road,"Five Islands Road, North of Anzac Parade",Five Islands Road,North of Anzac Parade,Five Islands,Road,Anzac Parade,100,0000217,0300,B,53,B53,Arterial Road,OnGround,TwoOrMoreLanes,Road,State,Hunter,Lake Macquarie,Teralba,2284,Trafficorder Tube Axlepair Counter,false,0,0,9730267,4522051,-32.965328,151.608093,9,5,true,ac8fc1dcd28acb8f3f5f18b89738e064,2018-06-12 02:48:41.978017+00
,6305,,,56527,09145,Pacific Highway,Pacific Highway,"Pacific Highway, East of Sutherlands Lane",Pacific Highway,East of Sutherlands Lane,Pacific,Highway,Sutherlands Lane,310,-10,-10,NULL,NULL,NULL,Primary Road,OnGround,Unknown Lanes,Highway,Local,Northern,Kempsey,Bellimbopinni,2440,Trafficorder Tube Axlepair Counter,false,0,1,9864344,4733264,-31.000788,152.913361,9,5,true,6f5e120d107e9c7c8f765c3c835974a8,2018-06-12 02:48:41.978017+00
